"HolderAddress","Balance","PendingBalanceUpdate"
"0xea379602a173167f9d54f818e11fcdcb46e75b94","420,331.51834624369997689","No"
"0x1eff4e61dc1a14de29537e393f977a933e4000fe","417,576.364147813215088826","No"
"0x1ba171cd1fbfd0a0226ca9ecb50019ba8fb618b6","415,773.498572064698643079","No"
"0xb7802ac102d7ff75898939e75b6e2bf3816a88fc","415,598.601903155457732499","No"
"0xf753d4287b8b7c1ab382c9f5e72ebce2de4c2a5c","415,090.458956112869051181","No"
"0x04bd8df63c65f7669591144d9371494a21abbcfc","414,243.919811428420568054","No"
"0x8503a12879b7c551facee7bdba8ed9cdac17465b","413,480.248037878461826227","No"
"0x942b4b5cc2a8abd3a9cee3343f8637a61302ac5e","412,596.042900318687230569","No"
"0x8b0c3eef1443315ee63e955d4167ade9a52e75fb","408,339.495939038015752139","No"
"0x9dadefa9c706fd77991e37c8937872f5710060bd","407,755.087125978669471276","No"
"0x505580b594e36108154b4dcbfa957df19cc6d317","406,778.411731388402383314","No"
"0xc41b597583b967a53f91c0f54c19df4293126929","404,453.321006635784213731","No"
"0xbcdb4f42dd2d461a5c06323657e598d8f4b06e49","402,694.45949553666123881","No"
"0x4ab150645be04d295f9f28b5ee23aa28fec2fdae","401,910.07670944067217172","No"
"0x93204162fba7b35e773f2ba1451183a5c2d8680f","401,753.367507867101136079","No"
"0x9cdb7121f89e8135aeaf5e2bc8006233fe23f426","400,000","No"
"0x2bd0cbb03af55e337aabb179a7bf092218b8367c","400,000","No"
"0x36f5c59a4665fa30eeb056ee4f542a4cd1832ec3","399,730.284022514263821972","No"
"0xd3e2fef2ce8838e45b3e983c8f946d42453d3165","395,115.208320356248182062","No"
"0x6a07b8a753c889b622c0eb3f3c98ebae226144d2","387,613.428190103960966967","No"
"0xc32a0f03e5dce30ce058f45ce34125fe35a75f4e","378,127.103329713774901057","No"
"0x0d975ea58d5a8c2cb28c868972772fdc3e94d961","374,346.569244243637014183","No"
"0x8e083ec6bc0ffe81a1c4d9d80b20272ca8aa8fae","373,754.131626453765697034","No"
"0x65d63742486fc2926a14f71ce041575059ee65fb","373,699.596515986010903588","No"
"0xee46b6036d3b42533b09a89e1fb25df88fb54002","373,360.542207783092406144","No"
"0x72df5c5019ec1a75d04f361e2145d3749c0c004c","358,637.334091180353561884","No"
"0x3d9d1ca502b1e74d2298b719ad00290908756160","358,000.395927725212655662","No"
"0xa3c18c5e7290e982170bfa3cfdb0b08081f35955","357,274.708994610331105796","No"
"0x93ec07ba1648b54787748d6e960a66ee442b8424","357,247.869432612920988966","No"
"0xd7eb255b70cd9e7d4471700c1d192bb39a7efa18","356,909.5102115316552173","No"
"0xaa4fb07f4b3537766151a40b2d91f75e63d0749c","355,402.754566721902868247","No"
"0x7c4a24c5b1c0eba323ac796b841708ca4f79feb1","354,771.293804382460735491","No"
"0x6fdc859bfad3bc680647c8c58530faa039e1fc03","354,469.78299382677972168","No"
"0x511dfc5e3f26637e6e420d5771fe09f8c8f04723","354,415.227695792068421294","No"
"0xd9afb726f0689e6df0173bddf73e4c85be954409","353,101.621994482381743994","No"
"0x53f6026147e91fe3d5631bbfb1d9ff799f684aa8","352,459.081846868447444167","No"
"0xb62cb6179c57a216b123ee0637c8ce3ef7496d00","350,223.171865650706171194","No"
"0xb25f5f18911c713741c484469b20188ce3535bfa","350,000","No"
"0x375c1772367ce248d104ced2ee504b7fb4ccf12e","349,295.581308081561266505","No"
"0x10de6d853c8360c7b07fc62d089d40424921bc39","349,152.052759900458101611","No"
